loan_id,scheduled_instalment_date,scheduled_principal,scheduled_interest,scheduled_fees,scheduled_vat
LOAN_001,2022-03-17,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_001,2022-04-16,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_001,2022-05-16,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_001,2022-06-15,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_001,2022-07-15,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_001,2022-08-14,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_001,2022-09-13,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_001,2022-10-13,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_001,2022-11-12,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_001,2022-12-12,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_001,2023-01-11,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_001,2023-02-10,416.6666666666667,57.18423013613986,5.0,1.0
LOAN_002,2022-10-31,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2022-11-30,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2022-12-30,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-01-29,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-02-28,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-03-30,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-04-29,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-05-29,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-06-28,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-07-28,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-08-27,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-09-26,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-10-26,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-11-25,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2023-12-25,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2024-01-24,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2024-02-23,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2024-03-24,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2024-04-23,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2024-05-23,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2024-06-22,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2024-07-22,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_002,2024-08-21,217.3913043478261,46.492360401313825,5.0,1.0
LOAN_003,2021-06-11,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_003,2021-07-11,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_003,2021-08-10,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_003,2021-09-09,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_003,2021-10-09,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_003,2021-11-08,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_003,2021-12-08,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_003,2022-01-07,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_003,2022-02-06,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_003,2022-03-08,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_003,2022-04-07,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_003,2022-05-07,1666.6666666666667,193.22525641873665,5.0,1.0
LOAN_004,2022-01-01,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_004,2022-01-31,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_004,2022-03-02,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_004,2022-04-01,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_004,2022-05-01,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_004,2022-05-31,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_004,2022-06-30,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_004,2022-07-30,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_004,2022-08-29,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_004,2022-09-28,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_004,2022-10-28,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_004,2022-11-27,416.6666666666667,57.204792099966774,5.0,1.0
LOAN_005,2022-07-13,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2022-08-12,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2022-09-11,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2022-10-11,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2022-11-10,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2022-12-10,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-01-09,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-02-08,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-03-10,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-04-09,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-05-09,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-06-08,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-07-08,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-08-07,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-09-06,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-10-06,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-11-05,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2023-12-05,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2024-01-04,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2024-02-03,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2024-03-04,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2024-04-03,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2024-05-03,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_005,2024-06-02,208.33333333333334,33.36555860501458,5.0,1.0
LOAN_006,2021-09-30,416.6666666666667,37.648398769867775,5.0,1.0
LOAN_006,2021-10-30,416.6666666666667,37.648398769867775,5.0,1.0
LOAN_006,2021-11-29,416.6666666666667,37.648398769867775,5.0,1.0
LOAN_006,2021-12-29,416.6666666666667,37.648398769867775,5.0,1.0
LOAN_006,2022-01-28,416.6666666666667,37.648398769867775,5.0,1.0
LOAN_006,2022-02-27,416.6666666666667,37.648398769867775,5.0,1.0
LOAN_006,2022-03-29,416.6666666666667,37.648398769867775,5.0,1.0
LOAN_006,2022-04-28,416.6666666666667,37.648398769867775,5.0,1.0
LOAN_006,2022-05-28,416.6666666666667,37.648398769867775,5.0,1.0
LOAN_006,2022-06-27,416.6666666666667,37.648398769867775,5.0,1.0
LOAN_006,2022-07-27,416.6666666666667,37.648398769867775,5.0,1.0
