loan_id,payment_id,actual_payment_date,actual_principal,actual_interest,actual_fees,actual_total_amount,write_off_amount,penalty_amount
LOAN_001,PAY_00001,2022-03-17,416.6666666666667,57.18423013613986,5.0,478.8508968028066,0.0,0.0
LOAN_001,PAY_00002,2022-04-16,416.6666666666667,57.18423013613986,5.0,478.8508968028066,0.0,0.0
LOAN_001,PAY_00003,2022-05-16,416.6666666666667,57.18423013613986,5.0,478.8508968028066,0.0,0.0
LOAN_001,PAY_00004,2022-06-15,416.6666666666667,57.18423013613986,5.0,478.8508968028066,0.0,0.0
LOAN_001,PAY_00005,2022-08-03,416.6666666666667,57.18423013613986,5.0,478.8508968028066,0.0,0.0
LOAN_001,PAY_00006,2022-08-14,416.6666666666667,57.18423013613986,5.0,478.8508968028066,0.0,0.0
LOAN_001,PAY_00007,2022-09-18,416.6666666666667,57.18423013613986,5.0,478.8508968028066,0.0,0.0
LOAN_002,PAY_00008,2022-10-31,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
LOAN_002,PAY_00009,2023-01-06,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
LOAN_002,PAY_00010,2022-12-30,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
LOAN_002,PAY_00011,2023-01-29,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
LOAN_002,PAY_00012,2023-02-28,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
LOAN_002,PAY_00013,2023-04-08,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
LOAN_002,PAY_00014,2023-04-29,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
LOAN_002,PAY_00015,2023-05-29,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
LOAN_002,PAY_00016,2023-06-28,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
LOAN_002,PAY_00017,2023-07-28,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
LOAN_002,PAY_00018,2023-08-27,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
LOAN_002,PAY_00019,2023-09-26,217.3913043478261,46.492360401313825,5.0,268.88366474913994,0.0,0.0
